stock,sector,industry,DCF_Stockprice,MichaelMethodValuation_Price,currentstockprice
ALB,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",107.14864565809486,3.680706635991065,233.67
ALGN,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",149.08306422397627,296.66107943416404,524.63
ALK,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",60.091843411798656,-0.05814038595182436,55.79
ALL,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",,168.9477394585133,124.08
ALLE,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",107.55171394014087,30.116739052413102,124.46
AMAT,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,159.54818882704646,256.46725217226657,167.0
AMCR,MANUFACTURING,MISCELLANEOUS MANUFACTURING INDUSTRIES,11.066002168868625,15.671920717069192,12.37
AMD,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,16.80056376850699,352.4562717162106,136.88
AME,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",118.60828767717459,26.284901156501704,141.54
AMGN,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",579.9950307385704,42.715466066954264,235.36
AMP,FINANCE,INVESTMENT ADVICE,316.6950767850718,215.37683265157654,328.58
AMT,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,611.4684941666104,169.83237327412047,250.62
AMZN,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,1616.8921553964906,6093.249632858827,3242.76
ANET,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,304.2120427084206,2.7990157206937907,129.74
ANSS,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,185.82517287814156,40.32865798559132,348.54
ANTM,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,521.7474123874421,299.7892701601106,452.14
AON,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE",111.69984170550372,23.057325349617138,273.45
AOS,MANUFACTURING,HOUSEHOLD APPLIANCES,60.885369440289814,17.205452184190904,80.57
APA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,7.4095089261220615,inf,33.29
APD,LIFE SCIENCES,INDUSTRIAL INORGANIC CHEMICALS,610.1720722379806,123.01603569013632,291.35
APH,MANUFACTURING,ELECTRONIC CONNECTORS,87.78785590317537,9.269305296969058,81.61
APTV,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,62.84152816478214,27.24876133967455,152.6
ARE,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,1687.6938468347607,100.46933108737609,210.28
ATO,ENERGY & TRANSPORTATION,NATURAL GAS DISTRIBUTION,,48.16047972388511,106.05
ATVI,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,72.78991729299591,53.89057069808237,65.39
AVB,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,4.834136640879771,248.68
AVGO,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,1112.8382149237063,326.07564610366586,596.37
AVY,MANUFACTURING,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),84.06712805606865,110.7560923696417,209.08
AWK,ENERGY & TRANSPORTATION,WATER SUPPLY,32.67912271372605,19.6635122962691,163.57
AXP,FINANCE,FINANCE SERVICES,214.26074260440933,157.9287485134689,168.4
AZO,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,3192.3767187660083,885.1347534474705,2033.48
BA,MANUFACTURING,AIRCRAFT,178.09603620567984,-1192.7822386351888,225.96
BAC,FINANCE,NATIONAL COMMERCIAL BANKS,31.232367105645707,54.902755533817086,47.91
BAX,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,38.15983564111587,1.8784784281896518,85.74
BDX,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,328.4013490279798,59.601407369543615,262.62
BEN,FINANCE,INVESTMENT ADVICE,,38.158573735079145,35.27
BIIB,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",1181.5350414266252,35.52588537532389,239.3
BIO,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,104.3663189250997,5890.171785166394,628.23
BK,FINANCE,STATE COMMERCIAL BANKS,91.04320862976287,9.632471156985025,63.6
BKNG,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,2024.5690491355829,782.277824940366,2450.95
BKR,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,12.858453517716233,43.059697032812096,27.46
BLL,MANUFACTURING,METAL CANS,61.86833340552352,10.379795843068685,90.59
BMY,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,72.70147876646368,-49.474487323452294,64.93
BR,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",172.12359302351524,1.1126077387792905,160.06
BSX,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,12.794699927524407,5.2698137836014425,44.86
BWA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,77.96848692054415,8.02402387119107,49.76
BXP,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,10.808153975650232,125.08
CAH,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",61.09442265696919,45.59257633020278,53.09
CAT,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,252.36419224981458,194.1066236735898,228.94
CB,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",401.66714963855844,19.804906181396134,196.26
CBOE,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",132.1792970521144,54.400419361720076,118.16
CBRE,REAL ESTATE & CONSTRUCTION,REAL ESTATE,67.47291106283045,44.76800162745563,103.83
CCI,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,60.83266827062284,2.259849206090866,184.15
CCL,ENERGY & TRANSPORTATION,WATER TRANSPORTATION,1.8685067218592486,-295.43989379728,22.95
CDNS,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,44.35326463260008,38.834859025401364,161.75
CDW,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,204.3457252316842,93.28732713717608,191.64
CE,LIFE SCIENCES,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",198.23250854936788,453.46683414933545,173.53
CERN,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,59.38026649299478,4.385672522566445,92.21
CF,LIFE SCIENCES,AGRICULTURAL CHEMICALS,239.60866282416907,94.10507597500694,66.44
CFG,FINANCE,STATE COMMERCIAL BANKS,73.14395085812981,95.04253311909991,56.35
CHD,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",166.39791620960986,23.506947631278095,104.22
CHRW,ENERGY & TRANSPORTATION,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,152.75538495332324,34.96450142451822,108.29
CHTR,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,512.3645776676708,1729.1587000612456,607.69
CI,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,1279.8905516948635,287.7341599992909,242.17
CINF,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE",151.01486441135592,94.98349185449486,119.54
CL,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",135.06174680240332,6.439097418922608,83.45
CLX,LIFE SCIENCES,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",1218.1143431033727,20.725514617718762,186.6
CMA,FINANCE,NATIONAL COMMERCIAL BANKS,,222.8945351827858,101.24
CMCSA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,64.2708418160499,25.519464321414237,51.68
CME,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",180.2256169334524,43.64305172424926,223.19
CMG,TRADE & SERVICES,RETAIL-EATING PLACES,276.0730313686147,3210.935160159596,1498.13
CMI,TECHNOLOGY,ENGINES & TURBINES,310.00695672162664,91.19567270619015,237.54
CMS,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,18.29576187584643,11.101640348386256,63.75
CNC,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,145.17798303091087,12.933767029628468,80.55
CNP,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,44.27689573395871,5.601866864278847,27.61
COF,FINANCE,NATIONAL COMMERCIAL BANKS,,1272.5359509050527,160.56
COO,LIFE SCIENCES,OPHTHALMIC GOODS,121.71677049018953,687.5156403643898,410.52
COP,ENERGY & TRANSPORTATION,PETROLEUM REFINING,-44.85372265563999,622.011228222994,86.74
COTY,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",,-187.27067406936882,8.93
CPRT,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,53.14817264575542,50.27772901257349,136.71
CRM,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,94.23352333258266,68.4662541534111,231.23
CSCO,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,110.9246182742043,18.581327332471112,61.36
CSX,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING",34.367946725466425,4.691851062635875,36.44
CTAS,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",193.84602169708646,107.95005172282718,397.45
CTSH,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,91.62786784025687,2.669679508946827,87.2
CTVA,LIFE SCIENCES,AGRICULTURAL PRODUCTION-CROPS,3.3458589141839106,43.38643835616436,48.6
CTXS,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,,0.37549819383812927,95.8
CVS,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,177.14081573852934,24.380297507426878,106.22
CVX,ENERGY & TRANSPORTATION,PETROLEUM REFINING,102.27376671139922,2660.028213855319,128.96
D,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,29.99647673109253,5.503982287062114,79.17
DAL,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED",112.52180444475512,9.775712648588813,40.31
DD,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",25.855557797615457,180.191683599806,84.97
DE,TECHNOLOGY,FARM MACHINERY & EQUIPMENT,629.2151112447236,551.9256444906415,379.56
DFS,FINANCE,PERSONAL CREDIT INSTITUTIONS,514.9526538802386,738.5125485379687,127.54
DG,TRADE & SERVICES,RETAIL-VARIETY STORES,411.55453891852795,148.77685200717096,217.08
DGX,LIFE SCIENCES,SERVICES-MEDICAL LABORATORIES,219.61825186496756,280.0627819468606,142.3
DHI,REAL ESTATE & CONSTRUCTION,OPERATIVE BUILDERS,28.781519233811295,191.01308858441757,98.53
DHR,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",299.2071731116751,78.95361100450707,293.31
DIS,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,146.0547567272016,26.396089687847216,151.94
DISCA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,134.1748628773905,7.33875441442029,31.18
DISCK,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,134.29478390910245,80.29891146807333,30.4
DISH,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,115.4729630466896,16.316961466624782,36.19
DLR,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,39.10362656669544,24.53146933731115,155.88
DOV,TECHNOLOGY,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP",273.40904358478906,67.51896562014528,178.48
DOW,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",237.35724395582417,878.7906040188827,60.74
DPZ,TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS,395.2192945395205,265.91522068695895,473.04
DRE,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,,12.469863233352195,59.81
DRI,TRADE & SERVICES,RETAIL-EATING PLACES,,23.788749763011406,143.0
DTE,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,13.755072192998481,17.869709567357944,119.38
DUK,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,,2.319224250214151,104.04
DVA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",178.3741242973341,111.05819104017482,116.32
DVN,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,94.77165470855992,640.2663460153966,50.39
DXC,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,61.75974734821265,6.3024678861138295,33.99
DXCM,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,137.12986535096917,483.0816416795376,447.34
EA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,131.956907785337,3.219990975691962,130.44
EBAY,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",59.825045215035,91.58590239545119,63.45
ECL,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",105.3855456733667,10.870048271657211,216.03
ED,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,847.7744643893113,9.08529905406021,83.52
EFX,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",35.31385381925824,29.72022407144003,249.5
EIX,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,351.8407384668951,4.203129621463104,63.75
EL,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",170.14814281159386,27.70580146210408,322.05
EMN,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",76.47644123264539,0.6374468540006546,127.54
EMR,MANUFACTURING,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),90.15289709557777,40.33362723257745,97.47
